"MMM.Close","AXP.Close","AAPL.Close","BA.Close","CAT.Close","CVX.Close","CSCO.Close","KO.Close","JNJ.Close","NKE.Close","PG.Close","RTX.Close","UNH.Close","VZ.Close","DIS.Close"
144.779999,55.09,99.989998,128.009995,59.16,84.120003,23.719999,42.080002,101.18,61.110001,78.809998,53.901825,113.959999,48.25,96.269997
145.550003,54.52,93.419998,116.580002,58.32,83.290001,23.43,42.09,102.160004,59.580002,78.800003,54.002518,112.330002,49.029999,94.32
147.320007,52.880001,94.089996,118.010002,61.080002,85.919998,23.110001,42.57,102.269997,61.200001,79.82,54.405285,111.379997,49.009998,93.529999
151,53.5,97.339996,120.129997,62.240002,86.470001,23.790001,42.919998,104.440002,62.009998,81.690002,55.18565,115.160004,49.970001,95.82
148.729996,54.700001,96.43,121.559998,62.700001,85.290001,23.48,43,104.370003,63.16,81.120003,55.10384,115.889999,50.759998,95.150002
147.869995,53.66,94.480003,117.519997,60.669998,81.239998,22.83,42.439999,103.410004,62.549999,80.220001,53.75708,113.879997,49.91,93.120003
152.520004,54.110001,96.349998,121.870003,63.27,84.620003,23.1,42.720001,104.139999,62.490002,81.099998,54.096916,112.75,50.619999,95.139999
153.440002,54.380001,96.599998,123.610001,65.959999,84.790001,23.540001,42.529999,103.900002,60.169998,80.699997,55.456261,114.199997,50.43,95.43
153.470001,53.98,94.019997,122.559998,66.120003,82.879997,22.889999,42.439999,100.540001,57.169998,81.199997,55.280052,111.720001,50.970001,93.900002
153.899994,52.400002,95.010002,119.470001,64.580002,85.989998,22.93,42.650002,102,55.040001,82.620003,54.612965,110.019997,50.740002,92.120003
154.740005,52.630001,94.989998,118.879997,63.93,82.919998,22.65,43.299999,101.970001,55.68,82.639999,54.902454,111.160004,50.150002,92.32
152.449997,52.290001,94.269997,116.360001,62.139999,83.040001,22.51,42.549999,101.730003,57.41,81.620003,54.726242,112.739998,49.98,88.849998
150.669998,51.110001,93.699997,108.440002,61.41,82.989998,24.68,42.41,101.699997,56,79.900002,53.278793,110.620003,49.389999,90.309998
153.960007,52.66,93.989998,108.629997,63.150002,85.43,25.110001,43.110001,101.82,56.419998,80.989998,54.090622,111.82,50.110001,91.150002
155.529999,53.18,96.639999,112.599998,65.209999,84.809998,25.84,43.360001,102.32,57.790001,81.470001,54.424168,115.150002,50.240002,92.910004
156.619995,53.610001,98.120003,116.339996,67.260002,88.309998,26.459999,43.490002,102.5,58.169998,82.449997,55.456261,118.300003,50.32,95.5
156.779999,54.150002,96.260002,117.57,66.120003,86.730003,26.43,43.610001,104.239998,58.599998,81.980003,55.6073,117.449997,50.939999,95.169998
156.449997,54.709999,96.040001,115.160004,65.419998,86.5,26.549999,43.77,104.160004,59.310001,81.790001,55.525486,117.68,50.860001,95.010002
157.699997,55.630001,96.879997,117.389999,67.309998,88.82,26.629999,43.939999,104.75,60.169998,82.129997,58.130901,121.269997,51.07,96.370003
156.169998,55.110001,94.690002,116.900002,65.779999,84.910004,26.120001,43.689999,104.080002,60.209999,81.809998,57.64632,121.150002,50.630001,95.379997
157.220001,54.639999,96.099998,115.589996,65.879997,85.269997,26.32,43.91,104.959999,60.400002,81.559998,58.911266,120.199997,50.82,95.43
158.990005,55.389999,96.760002,116.82,66.470001,85.300003,26.6,44.16,106.379997,62.380001,82.339996,61.718063,121.199997,51.110001,95.650002
158.270004,55.380001,96.910004,118.160004,66.870003,84.349998,26.41,43.139999,105.779999,62.599998,81.099998,61.478916,121.330002,51.02,95.309998
156.869995,55.580002,96.690002,118.18,67.699997,83.440002,26.18,43.130001,105.209999,61.59,80.290001,60.805538,119.099998,50.73,95.519997
159.589996,56.799999,100.529999,119.959999,69.089996,86.129997,26.83,43.689999,107.220001,62.919998,81.230003,59.817493,121.669998,51.459999,97.650002
159.410004,57.119999,100.75,119.650002,69.379997,87.139999,26.9,43.77,107.040001,62.220001,82.550003,60.119572,121.269997,52.119999,97
159.380005,58.09,101.5,119.610001,71.75,87.529999,26.870001,43.959999,106.650002,61.470001,82.839996,60.484581,121.82,51.889999,98.82
160.070007,58.290001,103.010002,121.07,72.839996,87.93,26.799999,44.110001,106.5,61.259998,83.489998,61.044682,121.800003,51.810001,98.480003
160.570007,59,101.870003,122.900002,74.769997,90.669998,27.139999,44.009998,106.739998,59.25,83.099998,60.994335,121.760002,52.209999,99.389999
160.199997,59.43,101.029999,122.349998,71.730003,88.739998,27.049999,44.32,106.220001,59.810001,83.059998,60.98175,121.660004,52.459999,97.82
160.089996,59.049999,101.120003,122.860001,71.870003,92.82,27.610001,44.810001,106.839996,58.330002,82.959999,60.79295,121.099998,52.34,97.660004
159.889999,58.75,101.169998,122.940002,71.360001,93.940002,27.379999,45.23,107.139999,58.880001,82.279999,60.528633,122.089996,52.32,97.040001
161.880005,59.459999,102.260002,124.629997,72.800003,94.580002,27.860001,45.200001,107.709999,60.080002,81.75,60.887352,125.099998,52.529999,97.940002
161.809998,59.57,102.519997,126.339996,72.730003,94.260002,27.700001,45.290001,107.660004,60.810001,81.169998,60.937698,125.220001,52.540001,98.809998
162.410004,59.23,104.580002,126.360001,72.440002,94.269997,27.66,45.240002,107.760002,61.400002,81.309998,60.597858,124.849998,52.669998,98.239998
162.889999,59.700001,105.970001,127.57,74.339996,95.400002,27.879999,45.049999,107.410004,61.860001,81.339996,61.353054,124.900002,53.209999,98.440002
163.75,60.080002,105.800003,130.699997,75.900002,96.889999,28.190001,45.77,106.739998,63.18,82.75,62.202644,124.529999,53.630001,99.599998
165.330002,61.220001,105.919998,133.960007,75.470001,97.690002,28.33,45.599998,107.5,62.990002,83.150002,62.334801,126.720001,53.240002,99.199997
164.839996,61.209999,105.910004,135.860001,75.889999,96.440002,28.190001,45.669998,107.279999,64.720001,83.32,62.41032,126.739998,53.439999,98.459999
164.910004,60.610001,106.720001,135.119995,75.550003,95.5,28.280001,45.5,107.379997,64.900002,82.739998,62.089363,128.020004,53.209999,97.580002
164.270004,60.630001,106.129997,132.860001,73.68,93.589996,27.83,45.459999,108.5,62.439999,82.82,62.372562,129.789993,52.91,96.830002
164.460007,60.470001,105.669998,132.119995,75.290001,94.849998,27.959999,45.580002,108.309998,61.650002,82.889999,62.341095,128.589996,53.560001,97.220001
166.279999,60.279999,105.190002,131.289993,75.32,94.68,27.9,45.799999,108.230003,61.34,82.620003,62.246696,128.919998,53.400002,98.089996
164.389999,60.599998,107.68,130.880005,76.010002,95.32,28.1,46.48,109.139999,61.490002,82.800003,63.008183,129.830002,54.049999,98.160004
166.75,60.290001,109.559998,128.580002,76.510002,95.25,28.459999,46.580002,108.980003,62.040001,82.68,63.089993,129.679993,54.040001,98.910004
166.630005,61.400002,108.989998,126.940002,76.540001,95.400002,28.469999,46.389999,108.199997,61.470001,82.309998,62.995594,128.899994,54.080002,99.309998
167.529999,61.099998,109.989998,126.959999,76.790001,94.260002,28.690001,46.830002,109.190002,61.59,83.529999,62.913784,129.919998,54.009998,99.07
166.399994,60.619999,111.120003,126.339996,75.720001,93.43,28.139999,46.889999,108.589996,59.970001,83.209999,63.102581,129.490005,54.419998,98.68
165.809998,60.189999,109.809998,127.029999,75.239998,92.669998,27.58,46.529999,108.949997,59.669998,83.160004,62.844555,127.040001,54.09,97
166.809998,59.880001,110.959999,127.93,75.220001,94.839996,28,46.709999,109.419998,60.310001,83.809998,63.165512,128.029999,53.52,97.480003
167.160004,58.860001,108.540001,127,74.169998,94.790001,27.6,46.360001,109.269997,60.299999,83.239998,63.492764,126.870003,52,96.160004
166.630005,59.5,108.660004,127.879997,74.349998,96.330002,27.690001,46.869999,109.099998,59.419998,83.199997,63.763374,125.68,52.18,96.419998
166.589996,59.799999,109.019997,127.910004,74.629997,95.239998,27.620001,46.439999,108.970001,57.919998,82.730003,64.279419,126.330002,51.610001,96.269997
168.029999,60.68,110.440002,129.470001,76.099998,97.510002,27.639999,46.650002,109.599998,58.549999,82.830002,64.870987,126.800003,51.950001,97.349998
168.589996,62.16,112.040001,131.139999,79.129997,97.599998,28.23,46.040001,109.870003,59.580002,82.459999,65.833855,127.760002,51.290001,99.480003
168.160004,62.509998,112.099998,130.850006,79.050003,97.980003,28.25,45.830002,109.839996,59.490002,82.010002,65.877914,127.980003,51.360001,98.629997
168.779999,62.139999,109.849998,131.130005,79.169998,97.230003,27.9,46.099998,110.18,59.5,82.300003,65.808685,127.330002,51.349998,98.589996
169.550003,62.59,107.480003,131.970001,79.25,98.699997,28.190001,46.220001,110.93,59.57,82.830002,66.16111,127.809998,51.73,101.480003
169.649994,63.57,106.910004,132.679993,80.389999,100.5,28.33,46.599998,112.68,59.560001,83.279999,66.079292,130.5,52.080002,102.639999
168.940002,65.019997,107.129997,130.570007,79.739998,101.690002,28.440001,44.369999,113.580002,59.619999,81.550003,66.412842,133.929993,51.75,103.269997
168.660004,65.610001,105.970001,130.740005,78.660004,101.400002,28.24,43.66,113.57,60.080002,80.800003,66.349907,132.960007,50.029999,102.910004
168.660004,65.93,105.68,131.050003,78.32,102.010002,28.15,44.540001,113.32,59.43,80.949997,66.519821,134.130005,50.549999,103.769997
168.380005,65.699997,105.080002,130.75,76.790001,101.510002,28.23,44.709999,113.510002,59.209999,81.410004,66.205162,133.779999,50.759998,104.57
166.179993,66.199997,104.349998,133.240005,77.650002,102.290001,28.450001,44.529999,112.910004,59.540001,79.550003,65.95343,134.240005,50.439999,104.889999
167.759995,66.230003,97.82,137.080002,78.68,103.849998,28.639999,44.68,112.769997,59.27,79.889999,66.639397,132.800003,51.689999,105.279999
167,65.839996,94.830002,134.800003,77.75,102.400002,27.959999,44.630001,112.480003,58.540001,79.760002,65.594711,132.070007,51.02,104.029999
167.380005,65.43,93.739998,134.800003,77.720001,102.18,27.49,44.799999,112.080002,58.939999,80.120003,65.682823,131.679993,50.939999,103.260002
168.339996,65.68,93.639999,134.009995,77.839996,103.309998,27.370001,44.98,112.75,59.59,80.970001,65.682823,132.100006,51.32,104.360001
167.970001,64.849998,95.18,132.490005,76.360001,101.32,26.860001,44.84,112.690002,59.52,81.099998,64.273125,132.460007,50.68,103.779999
167.160004,64.260002,94.190002,130.889999,74.239998,100.589996,26.440001,44.98,112.220001,59.110001,81.599998,63.354309,132.029999,50.84,103.669998
167.770004,63.919998,93.239998,132.080002,72.790001,101.419998,26.209999,45.060001,112.879997,58.189999,81.300003,63.115166,132.309998,50.84,104.93
168.889999,64.510002,92.720001,133.259995,73.360001,101.860001,26.530001,45.32,112.739998,58.43,82.129997,63.637508,132.039993,51.119999,105.540001
168.520004,63.98,92.790001,132.100006,70.779999,100.349998,26.51,45.240002,113.720001,58.720001,82.120003,62.9893,132.669998,51.080002,105.339996
170.259995,64.839996,93.419998,134.720001,72.510002,101.269997,27.030001,45.75,114.669998,59.200001,82.480003,64.292007,133.570007,51.540001,106.599998
169.770004,64.589996,92.510002,133,72.43,101.139999,26.700001,45.459999,114.370003,57.009998,82.150002,63.939583,130.690002,51.150002,102.290001
170.149994,64.339996,90.339996,134.419998,71.699997,102.120003,26.67,45.830002,114.230003,57.990002,82.410004,63.851479,129.740005,51.470001,101.709999
168.320007,64.120003,90.519997,132.119995,70.07,100.739998,26.530001,45.349998,113.559998,57.310001,81.230003,63.102581,129,50.939999,100.519997
169.550003,64.07,93.879997,134.139999,70.699997,102.290001,26.969999,45.619999,114.440002,57.139999,81.629997,64.078033,130.639999,51.23,100.360001
167.809998,62.759998,93.489998,132.559998,71.050003,100.75,26.65,44.75,113.830002,57.099998,80.620003,62.970421,129.559998,50.900002,99.940002
166.820007,63.52,94.559998,130.990005,70.589996,100.059998,26.719999,44.48,113.589996,56.119999,79.849998,62.48584,130.509995,50.389999,99
165.110001,62.740002,94.199997,128.080002,69.43,99.849998,27.57,44.32,112.849998,57.040001,80.190002,61.994965,130,49.630001,98.410004
165.009995,63.919998,95.220001,127.389999,69.870003,99.790001,27.969999,43.950001,112.639999,56.48,80.019997,62.366268,130.940002,49.66,99.779999
166.110001,63.59,96.43,127.580002,70.400002,99.379997,27.940001,43.970001,112.160004,55.990002,80.199997,62.240402,130.419998,49.139999,99.18
168.630005,64.870003,97.900002,127.5,71.089996,100.190002,28.469999,44.369999,112.690002,56.59,80.970001,62.876022,132.589996,49.580002,99.510002
169.990005,65.309998,99.620003,128.860001,72.57,101.769997,28.92,44.380001,113.349998,55.990002,81.480003,63.134048,133.419998,49.849998,99.860001
168.910004,65.230003,100.410004,129.309998,72.080002,101.5,28.9,44.689999,112.900002,55.84,81.220001,63.190685,132.979996,50.16,99.809998
168.889999,65.519997,100.349998,129.220001,71.959999,102.019997,28.92,44.779999,113.059998,56.189999,81.43,63.41095,134,50.619999,100.290001
168.320007,65.760002,99.860001,126.150002,72.510002,101,29.049999,44.599998,112.690002,55.220001,81.040001,63.297672,133.669998,50.900002,99.220001
168.690002,65.910004,98.459999,126.410004,72.269997,101.129997,28.9,44.700001,112.779999,54.93,81.790001,63.152927,134.529999,50.43,98.519997
168.039993,66.410004,97.720001,126.849998,73.620003,100.529999,29.08,44.720001,114.489998,54.529999,81.949997,63.429829,136.039993,50.77,98.720001
168.380005,65.489998,97.919998,127.379997,75.040001,100.660004,29.129999,45.040001,114.760002,53.450001,82.470001,63.203274,136.839996,50.919998,98.75
170.080002,65.940002,98.629997,131.899994,76.419998,101.169998,29.1,45.369999,115.769997,54.299999,82.769997,63.788548,138.149994,50.709999,98.779999
