"MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted","CVX.Open","CVX.High","CVX.Low","CVX.Close","CVX.Volume","CVX.Adjusted","CSCO.Open","CSCO.High","CSCO.Low","CSCO.Close","CSCO.Volume","CSCO.Adjusted","KO.Open","KO.High","KO.Low","KO.Close","KO.Volume","KO.Adjusted","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted","VZ.Open","VZ.High","VZ.Low","VZ.Close","VZ.Volume","VZ.Adjusted","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
151.990005,153.020004,147.080002,148.130005,8645900,131.644241,69.75,70.639999,69.589996,70.150002,6247200,65.196892,111.940002,112.800003,110.349998,110.489998,53323100,103.005409,145.660004,147.100006,144.119995,146.529999,4705300,130.405716,65.459999,66.959999,65.239998,66.75,6061200,58.018066,90.580002,93.400002,90.550003,92.760002,19158500,78.115616,26.719999,27.110001,26.610001,26.85,30393700,23.252481,42.84,43.240002,42.759998,43.07,17916400,37.48201,102.650002,104.690002,102.650002,104.129997,9283200,92.869987,64.800003,65,64.175003,64.305,6869600,61.021641,78.709999,80,78.480003,79.68,14113400,69.869034,58.955318,59.57206,58.672119,58.691002,10516000,53.161339,116.870003,118.5,116.660004,117.610001,3124100,110.017952,45.52,45.860001,45.209999,45.549999,16742600,37.279484,112.050003,113.349998,111.580002,112.160004,13361700,105.816589
148.149994,150.539993,147.740005,149.949997,4774100,133.261703,70.709999,70.959999,69.800003,70.709999,5581800,65.717331,111.07,111.989998,108.800003,111.339996,56238500,103.797813,147.979996,148.610001,146.229996,148.110001,3316000,131.811798,66.220001,67.879997,66.139999,67.720001,6747600,58.861168,92.580002,93.82,90.809998,93.440002,16917900,78.688255,27,27.290001,26.68,27.24,22731500,23.590221,43.25,43.91,43.25,43.84,21868600,38.152111,104.639999,105.489998,103.519997,105.25,8178800,93.868874,64.684998,65.599998,64.410004,65.464996,7542200,62.122421,79.980003,81.230003,79.800003,80.989998,14102600,71.017715,59.137821,60.056641,58.804279,59.86784,15680700,54.227306,118.300003,119.760002,116.900002,118.830002,3516900,111.159187,45.93,46.57,45.700001,46.509998,18808300,38.065159,114.690002,114.75,111.800003,113.790001,12304500,107.354401
150.149994,150.860001,148.830002,148.850006,3053900,132.284149,70.790001,70.959999,69.410004,69.57,4800000,64.657829,112.019997,112.25,108.980003,108.980003,44772800,101.597687,148.850006,149.800003,145.5,145.559998,3448800,129.542404,67.18,67.510002,64.879997,64.900002,6800000,56.410072,93.5,94,90.400002,90.540001,14082500,76.246094,27.290001,27.309999,26.700001,26.719999,24812200,23.1399,43.810001,43.889999,43.419998,43.490002,14697000,37.847523,105.160004,105.260002,103.629997,103.639999,8740800,92.432968,65.849998,65.925003,65.035004,65.110001,7400800,61.785545,80.980003,81.029999,80.199997,80.290001,9864200,70.403923,59.86784,60.245438,59.056011,59.07489,7630900,53.509068,118.830002,121.089996,118.639999,119.220001,3945800,111.524002,46.490002,46.689999,46.029999,46.099998,15508600,37.729607,114.129997,114.480003,111.980003,112.010002,9375000,105.675072
148.210007,148.600006,146.759995,146.919998,5736400,130.568939,69.129997,69.129997,67.57,67.870003,17898900,63.077866,108.910004,109.519997,105.809998,106.029999,96453300,98.847519,144.410004,144.410004,138.889999,139.580002,9952000,124.22049,64.599998,65.870003,64.099998,65.110001,13490900,56.592587,90.059998,91.269997,89.300003,89.809998,20167200,75.631355,26.6,26.82,26.26,26.27,36732700,22.750193,43.360001,43.419998,42.5,42.5,24583700,36.98597,103.080002,103.080002,101.949997,101.949997,14966000,90.92572,64.864998,65.264999,64.184998,64.260002,13804600,60.978935,79.949997,80.120003,78.129997,78.129997,21342100,68.509888,58.722466,59.36438,58.112019,58.112019,13770000,52.636921,118.610001,118.860001,115.82,115.82,7574800,108.343498,45.900002,46.040001,45.560001,45.560001,31635100,37.28767,112.010002,112.440002,107.349998,107.720001,28376900,101.627708
147.580002,148.330002,146.690002,147.479996,2284400,131.066574,68.150002,68.769997,67.989998,68.400002,4733400,63.570435,107.279999,107.370003,105.57,107.330002,47590600,100.059456,140.210007,141.940002,139.699997,140.899994,3746400,125.395226,65.589996,65.82,64.379997,65.239998,5311500,56.705582,90.400002,90.699997,88.209999,89.239998,12852300,75.151337,26.58,26.65,26.41,26.639999,20242900,23.070614,42.82,42.939999,42.459999,42.779999,10444400,37.229641,102.339996,102.919998,100.849998,101.580002,8321900,90.595718,64.839996,65.154999,64.305,64.900002,8972600,61.586258,78.629997,78.980003,78.150002,78.949997,9105800,69.228905,58.539963,59.087475,58.332283,58.911266,13838300,53.360855,116.57,117.769997,116,117.410004,3185200,109.830849,45.73,45.919998,45.52,45.900002,10360600,37.565929,108.800003,110.099998,105.330002,106.589996,22847200,100.5616
148.119995,149.490005,147.279999,148.970001,2528700,132.390778,68.739998,69.129997,68.209999,68.849998,3796800,63.988659,107.400002,107.720001,106.449997,107.230003,32789400,99.966232,141.720001,142.789993,140.5,142.380005,2791700,126.712364,66.25,68.790001,66.110001,68.410004,9697200,59.460903,89.120003,90.790001,88.300003,90.269997,9661700,76.018707,26.85,26.9,26.559999,26.889999,18966300,23.287119,42.860001,43.389999,42.709999,43.290001,12280800,37.67347,101.910004,102.879997,101.150002,102.709999,5581600,91.603531,65.739998,65.925003,64.910004,65.925003,17218400,62.558937,79.160004,79.75,78.879997,79.599998,9872200,69.798866,59.351795,60.044052,59.156704,59.704216,7379500,54.079102,118.190002,118.339996,116.209999,117.440002,2821600,109.858932,46.200001,46.459999,45.849998,46.34,11181500,37.926044,106.989998,107.199997,105.830002,106.739998,8644500,100.703125
149.690002,151.580002,149.520004,151.160004,2215300,134.337021,69.050003,69.989998,68.940002,69.970001,5278000,65.029572,107.269997,108.849998,107.199997,108.610001,32657400,101.252747,143.080002,144.070007,142.809998,144.059998,3353900,128.207458,69.589996,70.489998,68.989998,69.889999,7586300,60.747295,92.199997,93.849998,91.57,93.809998,11172800,78.99984,27.040001,27.41,27,27.4,18803700,23.728785,43.389999,43.73,43.349998,43.669998,9092300,38.004173,103.110001,103.669998,102.739998,103.489998,5531700,92.29921,68.120003,68.195,63.91,64.355003,57319400,61.069088,79.949997,80.43,79.5,79.919998,8254600,70.079475,60.100693,60.79295,60.056641,60.604153,7432100,54.894245,117.900002,118.830002,117.550003,118.690002,2479600,111.028214,46.509998,47.150002,46.389999,46.950001,12685500,38.425282,107.209999,107.239998,104.300003,105.559998,12372900,99.589859
150.820007,151.800003,150.580002,151.190002,848400,134.363708,69.739998,70.510002,69.739998,70.160004,1956400,65.206161,109,109,107.949997,108.029999,13570400,100.712036,143.600006,143.929993,143.360001,143.529999,1185000,127.735809,69.75,69.900002,69.059998,69.379997,2322100,60.304012,93.949997,93.949997,92.010002,92.050003,4998700,77.517708,27.41,27.549999,27.370001,27.379999,8166300,23.711462,43.490002,43.720001,43.419998,43.540001,3036600,37.891041,103.120003,103.910004,103.010002,103.720001,2546300,92.504333,64.550003,64.730003,62.150002,63.18,13889100,59.954098,79.660004,80.150002,79.599998,79.790001,2498000,69.965485,60.34613,60.742607,60.333542,60.604153,2197100,54.894245,118.529999,119.18,118.290001,118.339996,900100,110.700821,46.91,46.970001,46.599998,46.709999,4279900,38.228859,105.199997,106.639999,105.059998,105.860001,4356100,99.872902
151.130005,151.770004,150.270004,151.220001,1275200,134.390381,70,70.099998,69.360001,69.760002,2860700,64.834412,107.589996,107.690002,106.18,106.82,26704200,99.584007,143.259995,144.669998,142.850006,144.539993,1980000,128.634689,69.120003,69.18,68.029999,68.580002,3884000,59.608662,90.309998,90.720001,89.690002,90.360001,6800000,76.094498,27.299999,27.370001,27.129999,27.309999,14204900,23.650846,43.439999,43.52,43.310001,43.490002,6326100,37.847523,103.18,103.470001,102.93,103.220001,4063000,92.058395,63.209999,63.880001,62.799999,63.810001,8786800,60.551922,79.739998,79.970001,79.470001,79.919998,4150000,70.079475,60.402767,60.610447,60.226559,60.471996,5731200,54.774536,118.260002,118.610001,117.379997,118.330002,1582600,110.691467,46.619999,46.84,46.560001,46.75,6254900,38.261593,106.5,108.199997,106.330002,107.25,9092700,101.184273
152.199997,153.259995,152,152.889999,1824700,135.874481,70.279999,70.610001,70.120003,70.550003,3838800,65.568642,106.959999,109.43,106.860001,108.739998,30931200,101.37394,145.059998,147.559998,145,147.350006,3133600,131.135498,69.220001,69.57,68.620003,69.190002,3539500,60.138878,91.889999,92.580002,91.07,91.25,6471200,76.843994,27.440001,27.82,27.4,27.77,16319600,24.04921,43.540001,43.779999,43.5,43.709999,7739800,38.038979,103.339996,104.190002,103.339996,104.029999,4230000,92.780815,64.309998,64.480003,64.019997,64.260002,6708600,60.978935,80.220001,80.610001,79.849998,80.360001,4406100,70.465294,60.837006,61.529263,60.63562,61.2146,5230000,55.447182,118.870003,120.410004,118.699997,119.82,2027600,112.085289,46.98,47.23,46.84,47.209999,7667100,38.638073,107.879997,108.040001,106.449997,107.080002,8607200,101.023895
152.789993,153.699997,151.729996,151.910004,1553100,135.003601,70.510002,70.75,70.080002,70.160004,2792700,65.206161,108.580002,108.699997,107.18,107.32,25213800,100.050133,147.220001,148,146.009995,146.410004,1619000,130.298904,68.660004,69.629997,68.57,68.690002,3158500,59.704269,90.099998,90.980003,89.889999,90.089996,5600200,75.867149,27.66,27.77,27.52,27.530001,10620300,23.841366,43.75,43.77,43.450001,43.57,5112500,37.917141,104.110001,104.339996,103.529999,103.779999,3847800,92.557831,64.360001,64.400002,63.169998,63.25,5817900,60.020504,80.459999,80.5,80,80.07,3793200,70.210999,60.994335,61.359344,60.742607,60.98175,5023800,55.236259,120.029999,120.110001,118.660004,118.919998,1747700,111.243378,47.200001,47.200001,46.619999,46.77,8970700,38.277966,106.889999,107.209999,106.25,106.339996,4917000,100.325745
151.729996,152.119995,150.630005,150.639999,1607100,133.874908,70.010002,70.32,69.529999,69.550003,3531300,64.639244,107.010002,107.029999,104.82,105.260002,40912300,98.129669,145.960007,145.960007,144.5,144.589996,2105200,128.679169,68.449997,69.099998,67.940002,67.959999,4356400,59.069767,89.379997,90.860001,89.019997,89.959999,6988700,75.75766,27.379999,27.450001,27.139999,27.16,17041500,23.520941,43.299999,43.34,42.869999,42.959999,9727900,37.386284,103.370003,103.620003,102.690002,102.720001,4592600,91.612457,63.150002,63.169998,62.5,62.5,6454700,59.3088,79.910004,80.040001,79.309998,79.410004,5077700,69.632271,60.673378,60.843296,60.232849,60.459408,4689100,54.763138,118.639999,119.370003,117.360001,117.639999,2372500,110.046005,46.52,46.650002,46.209999,46.220001,11490900,37.827827,106.139999,106.309998,105.059998,105.080002,6670100,99.137009
148.050003,148.320007,145.399994,146.820007,3277200,130.480072,68.089996,68.18,66.769997,67.589996,9248300,62.817627,102.610001,105.370003,102,105.349998,67649400,98.213585,141.380005,141.699997,139.429993,140.5,5719500,125.03923,66.879997,68.080002,65.720001,67.989998,8586900,59.09586,89.529999,90.110001,87.57,88.849998,11397300,74.822914,26.389999,26.42,25.879999,26.41,35827100,23.04965,42.34,42.5,41.970001,42.400002,16084100,36.898941,101.709999,101.809998,99.449997,100.480003,12722800,89.614685,61.110001,61.91,60.860001,61.52,11626800,58.378841,78.360001,78.5,77.540001,78.370003,11529800,68.720306,59.439899,60.188797,59.131531,60.144745,8552300,54.478115,116.910004,116.910004,114.529999,116.459999,4991000,108.942162,45.669998,45.91,45.360001,45.869999,17821600,37.541382,103.120003,103.43,101.730003,102.980003,12531500,97.155785
146.820007,147.5,145.610001,147.460007,2688100,131.048843,67.370003,67.709999,65.669998,66.550003,10809200,61.851078,105.75,105.849998,102.410004,102.709999,55791000,95.752419,140.990005,141.699997,139.770004,141.070007,3357000,125.546516,68.379997,68.440002,66.419998,67.279999,6139100,58.478725,89.050003,89.650002,87.839996,89.610001,7883400,75.462914,26.540001,26.66,26.18,26.290001,22024900,22.944918,42.310001,42.630001,42.169998,42.549999,15781900,37.029476,100.580002,101.440002,100.57,100.900002,6467200,89.989258,61.720001,62.59,61.720001,62.380001,9220600,59.194939,78.440002,78.959999,78.209999,78.620003,8133700,68.939545,59.874134,60.415356,59.660164,60.239143,6758200,54.563622,116.720001,117.889999,116.209999,116.68,2816800,109.14798,46.200001,46.549999,45.630001,46.5,15632800,38.056988,102.669998,102.669998,99.889999,100.900002,16212900,95.193428
145.589996,145.759995,143.419998,144.490005,2997100,128.409363,65.239998,65.550003,64.239998,64.419998,9752200,60.133495,100.559998,102.370003,99.870003,100.699997,68457400,93.878586,138.830002,139.350006,137.259995,138.830002,4254100,123.553009,65.980003,66.849998,65.620003,66.220001,6639300,57.557392,87.440002,87.779999,85.160004,86.07,14511400,72.481781,26.08,26.139999,25.82,26.01,30799800,22.700542,42.200001,42.509998,42.040001,42.32,16245100,36.829319,99.82,100.970001,99.599998,100.389999,7733800,89.534401,61.299999,62.040001,61.150002,61.490002,6551600,58.350384,77.669998,78.290001,77.120003,77.860001,9551000,68.273117,59.093769,59.559471,58.237885,58.602894,13189700,53.081543,115.779999,116.650002,114.5,115.489998,2677300,108.034805,45.490002,45.950001,45.279999,45.52,19082700,37.713146,99.379997,101.459999,99.360001,100.360001,13934500,94.683952
